"#","Afirmación","Sujeto","Predicado","Objeto","Atribución","Fuente","Aceptación","Fuerza","Motivo","Resolución","Vigencia"
"C-405","La raíz del árbol eucariota identifica el nodo correspondiente a la población LECA reconstruida y condiciona la polaridad de los caracteres eucariotas.","raíz del árbol eucariota","determina_polaridad_de*","caracteres de LECA y divergencias posteriores","expresa","S102 resumen; S56 tesis general","consenso amplio","alta","La raíz define qué estados se interpretan como ancestrales o derivados.","resuelta","vigente"
"C-406","No existe un grupo externo celular próximo a Eukaryota que conserve suficientes caracteres homólogos y una distancia evolutiva corta para enraizarlo directamente.","Eukaryota","carece_de_grupo_externo_proximo*","grupo externo celular de divergencia corta","expresa","S102 resumen; S137 §Rooting","consenso amplio","alta","Archaea es el grupo externo filogenético, pero la separación y la eucariogénesis introducen una rama profunda.","resuelta","vigente"
"C-407","Las divergencias profundas del árbol eucariota acumulan sustituciones múltiples y saturación.","divergencias profundas de Eukaryota","posee_rasgo","saturación de secuencias","expresa","S102 resumen; S137 §Phylogenomic artefacts","consenso amplio","alta","La saturación reduce la señal histórica disponible.","resuelta","vigente"
"C-408","La atracción de ramas largas puede agrupar linajes de evolución rápida por artefacto.","atracción de ramas largas","produce_artefacto*","agrupación de linajes de evolución rápida","expresa","S102 resumen; S104 tesis general","consenso amplio","alta","Es un modo de fallo conocido de inferencia filogenética.","resuelta","vigente"
"C-409","La heterogeneidad composicional y la heterogeneidad de tasas entre sitios pueden cambiar la topología recuperada.","modelo de sustitución","condiciona*","topología de la raíz eucariota","expresa","S102 figs. 1–2; S104 tesis general","consenso amplio","alta","Los estudios comparan topologías distintas bajo modelos distintos.","parcialmente resuelta","vigente"
"C-410","La selección de ortólogos, los datos ausentes y las secuencias atípicas pueden alterar la raíz inferida.","construcción de matriz filogenómica","condiciona*","raíz eucariota","expresa","S104 tesis general; S126 figs. 2 y 5","consenso amplio","alta","Las pruebas de sensibilidad muestran cambios de topología al variar matrices y filtros.","parcialmente resuelta","vigente"
"C-411","Una probabilidad posterior, un bootstrap y una prueba AU no son medidas intercambiables y se transcriben sin convertirlas a una escala común.","medidas de soporte filogenético","se_distingue_de*","medidas con definiciones estadísticas diferentes","glosa","n/a; convención documental","no evaluado","alta","Evita presentar métricas distintas como porcentajes equivalentes.","resuelta","vigente"
"C-412","La división histórica unikonta–bikonta situó la raíz entre un conjunto que incluía Amoebozoa y Opisthokonta y otro conjunto de eucariotas ancestrales supuestamente biciliados.","hipótesis unikonta–bikonta","propuesto_por","Cavalier-Smith y colaboradores","expresa","S116 tesis general; S118 tesis general; S89 clasificación","no evaluado","media","La división combinó caracteres celulares, una fusión génica y repertorios de miosina.","sin resolver","histórica"
"C-413","La denominación Unikonta suponía un estado ancestral con un solo cinetosoma o sistema flagelar.","Unikonta","posee_rasgo","estado ancestral uniciliado propuesto","expresa","S89 §Unikonta; S138 discusión","no evaluado","baja","La reconstrucción morfológica no se conserva como diagnóstico fiable del clado moderno.","sin resolver","histórica"
"C-414","La denominación Bikonta suponía un estado ancestral con dos cinetosomas o sistemas flagelares.","Bikonta","posee_rasgo","estado ancestral biciliado propuesto","expresa","S116 tesis general; S138 discusión","no evaluado","baja","Pérdidas, duplicaciones y diversidad del aparato flagelar impiden usar el estado como polarizador simple.","sin resolver","histórica"
"C-415","La división unikonta–bikonta no coincide exactamente con Amorphea frente a Diaphoretickes ni con Opimoda frente a Diphoda.","Unikonta/Bikonta","no_equivale_a*","Amorphea/Diaphoretickes u Opimoda/Diphoda","expresa","S105 discusión; S124 definición; S137 revisión","aceptación mayoritaria","alta","Las circunscripciones incluyen y excluyen linajes profundos diferentes.","resuelta","histórica"
"C-416","Derelle et al. propusieron una raíz entre Opimoda y Diphoda mediante proteínas eucariotas de origen bacteriano.","hipótesis Opimoda–Diphoda","propuesto_por","Derelle et al. 2015","expresa","S105 título; figs. 1–3","aceptación mixta","alta","La fuente presenta la topología y el método de enraizamiento.","sin resolver","vigente"
"C-417","Opimoda incluyó a Amorphea y linajes profundos asociados según la circunscripción de Derelle et al.","Opimoda","miembro_de","lado opimo de la raíz propuesta","expresa","S105 fig. 1; definición","aceptación mixta","media","El contenido depende de la topología y del muestreo del estudio.","sin resolver","vigente"
"C-418","Diphoda incluyó a Diaphoretickes y varios linajes excavados según la circunscripción de Derelle et al.","Diphoda","miembro_de","lado difodo de la raíz propuesta","expresa","S105 fig. 1; definición","aceptación mixta","media","El contenido depende de la topología y del muestreo del estudio.","sin resolver","vigente"
"C-419","El análisis de Derelle et al. recuperó la raíz Opimoda–Diphoda con PP = 0.95 bajo CAT-GTR y PP = 0.97 bajo CAT en los análisis citados.","hipótesis Opimoda–Diphoda","respaldado_por","PP = 0.95 y PP = 0.97","expresa","S105 resultados; figs. 2–3","aceptación mixta","media","El soporte es alto dentro de las matrices y modelos usados, pero otras clases de datos recuperan raíces distintas.","sin resolver","vigente"
"C-420","He et al. propusieron una raíz con Discoba como rama hermana del resto de los eucariotas activamente mitocondriados incluidos.","hipótesis de raíz Discoba","propuesto_por","He et al. 2014","expresa","S106 título; fig. 1","aceptación mixta","media","La matriz utilizó proteínas de ascendencia mitocondrial y excluyó linajes con señal mitocondrial reducida.","sin resolver","vigente"
"C-421","La raíz Discoba de He et al. no prueba la monofilia de una Excavata amplia.","hipótesis de raíz Discoba","no_equivale_a*","monofilia de Excavata sensu histórico","expresa","S106 discusión; S137 revisión","aceptación mayoritaria","alta","Discoba es una rama concreta y Excavata histórica reúne linajes cuya monofilia no está establecida.","resuelta","vigente"
