"#","Afirmación","Sujeto","Predicado","Objeto","Atribución","Fuente","Aceptación","Fuerza","Motivo","Resolución","Vigencia"
"C-1262","La recombinación genética puede ocurrir sin meiosis y sin fusión entre individuos.","recombinación genética","no_implica*","meiosis ni sexo","expresa","S357 §Definitions; S360 introducción","consenso amplio","alta","Existen reparación mitótica, conversión génica y ciclos parasexuales.","resuelta","vigente"
"C-1263","La meiosis es un programa de división y recombinación que reduce la ploidía, pero no equivale por sí sola al ciclo sexual completo.","meiosis","se_distingue_de*","ciclo sexual completo","expresa","S357 §Meiosis; S358 introducción","consenso amplio","alta","El ciclo sexual incluye además reconocimiento, fusión y restauración de ploidía.","resuelta","vigente"
"C-1264","El sexo eucariota, en sentido celular, combina material genético de núcleos distintos y puede incluir singamia, cariogamia y meiosis en momentos separados.","sexo eucariota","posee_componentes*","fusión celular, fusión nuclear y recombinación/reducción","expresa","S357 figs. 1–2; S78 tesis general","aceptación mayoritaria","alta","Los componentes están desacoplados en varios ciclos actuales.","parcialmente resuelta","vigente"
"C-1265","Plasmogamia designa la fusión de citoplasmas y cariogamia la fusión de núcleos.","plasmogamia y cariogamia","clasificado_como_por","fusión citoplasmática y nuclear","expresa","S357 §Cell-cell fusion and karyogamy","consenso amplio","alta","Son definiciones operativas.","resuelta","vigente"
"C-1266","Singamia se usa para la fusión de células sexuales y puede abarcar plasmogamia y cariogamia según el autor y el ciclo.","singamia","tiene_circunscripcion_variable*","fusión de gametos o células sexuales","expresa","S357 §Definitions","aceptación mayoritaria","media","La literatura no usa el término con idéntica granularidad.","parcialmente resuelta","vigente"
"C-1267","Un tipo de apareamiento define compatibilidad de fusión y no implica necesariamente anisogamia, cromosomas sexuales ni dos sexos.","tipo de apareamiento","no_implica*","anisogamia ni sexo masculino/femenino","expresa","S357 §Mating types; S365 resultados; S375 introducción","consenso amplio","alta","Dictyostelium posee tres tipos compatibles por pares y gametos sin dimorfismo sexual clásico.","resuelta","vigente"
"C-1268","Un ciclo haplonte tiene crecimiento mitótico predominantemente haploide y una fase diploide restringida al cigoto.","ciclo haplonte","posee_rasgo","crecimiento haploide y diploidía cigótica","expresa","S357 fig. 1","consenso amplio","alta","Definición del ciclo.","resuelta","vigente"
"C-1269","Un ciclo diplonte tiene crecimiento mitótico predominantemente diploide y produce células haploides mediante meiosis.","ciclo diplonte","posee_rasgo","crecimiento diploide y haploidía derivada por meiosis","expresa","S357 fig. 1","consenso amplio","alta","Definición del ciclo.","resuelta","vigente"
"C-1270","Un ciclo haplodiplonte incluye crecimiento mitótico tanto haploide como diploide.","ciclo haplodiplonte","posee_rasgo","fases multicelulares o proliferativas de ambas ploidías","expresa","S357 fig. 1","consenso amplio","alta","Definición del ciclo.","resuelta","vigente"
"C-1271","La parasexualidad permite recombinación y cambios de ploidía sin la secuencia canónica de meiosis.","parasexualidad","se_distingue_de*","meiosis canónica","expresa","S360 §§1–2; S369 resultados","consenso amplio","alta","Giardia y hongos proporcionan mecanismos alternativos.","resuelta","vigente"
