"etiqueta preferida","tipo","sinónimos y grafías alternativas","marcas (⚠, ≈, †, [F], [H]) como atributos de la fila","# de la fila del registro donde aparece por primera vez"
"MAG","método o producto de datos","metagenome-assembled genome; genoma ensamblado a partir de metagenomas","n/a","C-006"
"cocultivo","método experimental","co-culture","n/a","C-007"
"cultivo axénico","método experimental","axenic culture; pure monoculture","n/a","C-007"
"cultivo de enriquecimiento","método experimental","enrichment culture","n/a","C-007"
"grupo corona","concepto filogenético","crown group","n/a","C-008"
"grupo tronco","concepto filogenético","stem group","n/a","C-009"
"grupo total","concepto filogenético","total group","n/a","C-010"
"árbol de tres dominios","hipótesis filogenética","three-domain tree; 3D tree","[H]","C-011"
"Bacteria","dominio o clado","Eubacteria en literatura histórica","n/a","C-011"
"Eukaryota","clado","Eucarya; eucariotas","[H]","C-011"
"raíz del árbol celular no especificada","etiqueta descriptiva","n/a","⚠","C-011"
"Archaea sensu excluyente","concepto taxonómico","Archaea sin Eukaryota; arqueas en uso procariota","⚠ [H]","C-012"
"hipótesis del eocito","hipótesis filogenética","eocyte hypothesis","[H]","C-013"
"árbol de dos dominios","hipótesis filogenética","two-domain tree; 2D tree","[H]","C-015"
"Archaea sensu inclusivo","concepto taxonómico","Archaea incluyendo Eukaryota bajo dos dominios","[H]","C-015"
"NDCH","modelo filogenético","node-discrete composition heterogeneity","n/a","C-019"
"CAT","modelo filogenético","site-heterogeneous CAT model","n/a","C-020"
"CAT-GTR","modelo filogenético","CAT+GTR","n/a","C-020"
"prueba AU","prueba estadística","approximately unbiased test","n/a","C-024"
"C60","modelo filogenético","profile mixture C60","n/a","C-025"
"recodificación SR4","método filogenético","SR4 amino-acid recoding","n/a","C-027"
"linaje asgard más próximo a Eukaryota no resuelto","linaje descriptivo","n/a","⚠","C-038"
"hipótesis neomurana planctobacteriana","hipótesis histórica","Neomuran hypothesis; planctobacterial origin of Neomura","⚠","C-042"
"membrana arqueana típica","rasgo","G1P ether-linked isoprenoid membrane","n/a","C-044"
"membrana bacteriana típica","rasgo","G3P ester-linked fatty-acid membrane","n/a","C-045"
"membrana eucariota moderna","rasgo","membrana glicerofosfolipídica predominantemente bacteriana","n/a","C-046"
"divisoria lipídica","concepto bioquímico","lipid divide","n/a","C-047"
"linaje hospedador arqueano no identificado","linaje descriptivo","n/a","⚠","C-047"
"membrana heteroquiral","rasgo experimental","heterochiral membrane; mixed-chirality membrane","n/a","C-050"
"reemplazo de ruta lipídica","hipótesis mecanística","bacterial pathway replacement","⚠","C-056"
"intermedio heteroquiral","hipótesis mecanística","heterochiral intermediate","⚠","C-057"
"genes informacionales","categoría funcional","informational genes","n/a","C-060"
"genes operacionales","categoría funcional","operational genes","n/a","C-060"
"genoma eucariota quimérico","concepto genómico","chimeric eukaryotic genome","n/a","C-060"
"proteínas de firma eucariota","categoría proteica","eukaryotic signature proteins; ESP","n/a","C-072"
